COUNTRY	POPULATION	LAND_AREA	WATER_AREA	BIRTH_RATE
Afghanistan	34124811	652230	0	37.90
Albania	3047987	27398	1350	13.20
Algeria	40969443	2381741	0	22.20
American Samoa	51504	199	0
Andorra	76965	468	0	7.50
Angola	29310273	1246700	0	44.20
Anguilla	17087	91	0	12.50
Antarctica	5400	14000000	0
Antigua and Barbuda	94731	442.6	0	15.70
Argentina	44293293	2780400	43710	16.70
Armenia	3045191	28203	1540	12.90
Aruba	115120	180	0	12.40
Australia	23232413	7682300	58920	12.10
Austria	8754413	82445	1426	9.60
Azerbaijan	9961396	82629	3971	15.80
Bahamas The	329988	10010	3870	15.30
Bahrain	1410942	760	0	13.30
Bangladesh	157826578	120170	18200	18.80
Barbados	292336	420	0	11.70
Belarus	9549747	202900	4700	10.30
Belgium	11491346	20278	250	11.30
Belize	360346	22806	180	24.00
Benin	11038805	110622	200	35.00
Bermuda	70864	4	0	11.30
Bhutan	758288	38394	0	17.30
Bolivia	11138234 1083301	15280	22.00
Bosnia and Herzegovina	3856181	51187	10	8.80
Botswana	2214858	566730	15000	22.10
Brazil	207353391	8358140	157630	14.10
British Virgin Islands	35015	151	0	11.10
Brunei	443593	5265	500	17.00
Bulgaria	7101510	108489	2390	8.70
Burkina Faso	20107509	273800	400	41.20
Burma	55123814	653508	23070	18.10
Burundi	11466756	25680	2150	41.30
Cabo Verde	560899	4033	0	20.00
Cambodia	16204486	176515	4520	23.00
Cameroon	24994885	472710	2730	35.40
Canada	35623680	9093507	891163	10.30
Cayman Islands	58441	264	0	12.00
Central African Republic	5625118	622984	0	34.30
Chad	12075985	1259200	24800	35.60
Chile	17789267	743812	12290	13.60
China	1379302771	9326410	270550	12.30
Colombia	47698524	1038700	100210	16.10
Comoros	808080	2235	0	26.10
Congo Democratic Republic of the	83301151	2267048	77810	33.50
Congo Republic of the	4954674	341500	500	34.40
Cook Islands	11700	236	0	14.00
Costa Rica	4930258	51060	40	15.50
Cote d'Ivoire	24184810	318003	4460	27.70
Croatia	4292095	55974	620	8.90
Cuba	11147407	109820	1040	10.70
Curacao	149648	444	0	13.70
Cyprus	1221549	9241	10	11.30
Czechia	10674723	77247	1620	9.30
Denmark	5605948	42434	660	10.50
Djibouti	865267	23180	20	23.40
Dominica	73897	751	0	15.10
Dominican Republic	10734247	48320	350	18.40
Ecuador	16290913	276841	6720	17.90
Egypt	97041072	995450	6000	29.60
El Salvador	6172011	20721	320	16.20
Equatorial Guinea	778358	28051	0	32.20
Eritrea	5918919	101000	16600	29.60
Estonia	1251581	42388	2840	10.10
Ethiopia	105350020	1000000	104300	36.50
Germany	80594017	357022	?	8.60
France	67106161	643801	?	12.20
United Kingdom	64769452	243617	?	12.10
Italy	62137802	301340	?	8.60
Spain	48958159	505370	?	9.20
Poland	38476269	312685	?	9.50
Romania	21529967	238391	?	8.90
Netherlands	17084719	41543	?	10.90
Belgium	11491346	30528	?	11.30
Portugal	10839514	92090	?	9.00
Greece	10768477	131957	?	8.40
Czechia	10674723	78867	?	9.30
Sweden	9960487	450295	?	12.10
Hungary	9850845	93028	?	9.00
Bulgaria	7101510	110879	?	8.70
Denmark	5605948	43094	?	10.50
Finland	5518371	338145	?	10.70
Slovakia	5445829	49035	?	9.70
Ireland	5011102	70273	?	14.10
Croatia	4292095	56594	?	8.90
Lithuania	2823859	65300	?	9.90
Slovenia	1972126	20273	?	8.20
Latvia	1944643	64589	?	9.70
Estonia	1251581	45228	?	10.10
Cyprus	1221549	9251	?	11.30
Luxembourg	594130	2586	?	11.50
Malta	416338	316	?	10.10
Falkland Islands (Islas Malvinas)	3198	12173	0	10.90
Faroe Islands	50730	1393	0	14.30
Fiji	920938	18274	0	18.60
Finland	5518371	303815	?	10.70
France	67106161	640427	3374
French Polynesia	287881	3827	340	14.80
Gabon	1772255	257667	10000	34.20
Gambia The	2051363	10120	1180	29.40
Gaza Strip	1795183	360	0	31.40
Georgia	4926330	69700	0	12.30
Ghana	27499924	227533	11000	30.50
Gibraltar	29396	6.5	0	14.00
Greece	10768477	130647	1310	8.40
Greenland	57713	2166086	?	14.40
Grenada	111724	344	0	15.50
Guam	167358	544	0	19.70
Guatemala	15460732	107159	1730	24.10
Guernsey	66502	78	0	9.80
Guinea	12413867	245717	140	35.10
Guinea-Bissau	1792338	28120	8005	32.50
Guyana	737718	196849	18120	15.40
Haiti	10646714	27560	?	23.00
Honduras	9038741	11890	200	22.40
Hong Kong	7191503	1073	35	8.90
Hungary	9850845	89608	3420
Iceland	339747	100250	2750	13.70
India	1281935911	2973193	314070	19.00
Indonesia	260580739	1811569	93000	16.20
Iran	82021564	1531595	116600	17.90
Iraq	39192111	437367	950	30.40
Ireland	5011102	68883	1390	14.10
Isle of Man	88815	572	0	11.00
Israel	8299706	20330	440	18.10
Italy	62137802	294140	7200	8.60
Jamaica	2990561	10831	160	17.90
Japan	126451398	364485	13430	7.70
Jersey	98840	116	0	12.40
Jordan	10248069	88802	540	23.90
Kazakhstan	18556698	2699700	25200	18.10
Kenya	47615739	569140	11227	23.90
Kiribati	108145	811	0	21.20
Korea North	25248140	120408	130	14.60
Korea South	51181299	96920	2800	8.30
Kuwait	4437590	17818	0	19.20
Kyrgyzstan	5789122	191801	8150	22.10
Laos	7126706	230800	6000	23.60
