https://www.netrition.com/rdi_page.html,,,,,,,,,,,,,,,,,
Protein,50,,g,,,,,,,,,,,,,,
Carbohydrate,300,,g,,,,,,,,,,,,,,
Fat,65,,g,,,,,,,,,,,,,,
Fiber,25,,g,,,,,,,,,,,,,,
Saturated Fat,20,,g,,,,,,,,,,,,,,
Cholesterol,300,,mg,,,,,,,,,,,,,,
Sodium,2400,,mg,,,,,,,,,,,,,,
Potassium,3500,,mg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Units,Units (trimmed),Length,Width,weight per unit(g),,Grams per inch of soil,Protein (100g),Carbs (100g),Fat (100g),Fibre (100g),Saturated Fat (100g),Protein per inch soil,Carbs per inch of soil,Fat per inch of soil,Fibre per inch of soil,
Artichoke Globe,12 heads,12,36,36,,128,1.1851851852,3.27,10.51,0.15,5.4,30mg,0.0387555556,0.124562963,0.0017777778,0.064,0.2290962963
Artichoke Jerusalem,5lb,5,36,16,,453.59237,3.9374337674,2,17.44,10mg,1.6,0,0.0787486753,0.686688449,0,0.0629989403,0.8284360647
Asparagus,25 spears,25,12,6,,16,5.5555555556,2.2,3.88,0.12,2.1,40mg,0.1222222222,0.2155555556,0.0066666667,0.1166666667,0.4611111111
Aubergine,5lb,5,24,24,,453.59237,3.9374337674,1,5.7,0.19,3.4,30mg,0.0393743377,0.2244337247,0.0074811242,0.1338727481,0.4051619347
French Bean,12lb,12,120,18,,453.59237,2.5199576111,18.81,64.11,2.02,25.2,0.22g,0.4740040267,1.6155448245,0.0509031437,0.635029318,2.7754813129
Broad Bean,20lb,20,120,48,,453.59237,1.5749735069,7.92,17.63,0.73,25,0.11g,0.1247379018,0.2776678293,0.0114973066,0.3937433767,0.8076464144
Runner Bean,60lb,60,120,36,,453.59237,6.2998940278,?,?,?,?,?,?,?,?,?,
"Beet, Leaf",7lb,7,120,15,,453.59237,1.7639703278,2.2,4.33,0.13,3.7,20mg,0.0388073472,0.0763799152,0.0022931614,0.0652669021,0.182747326
Beetroot,18lb,18,120,12,,453.59237,5.669904625,1.61,9.56,0.17,2.8,20mg,0.0912854645,0.5420428822,0.0096388379,0.1587573295,0.801724514
Broccoli,1.5lb,1.5,0.5,6,,453.59237,226.796185,2.82,6.64,0.37,2.6,30mg,6.395652417,15.059266684,0.8391458845,5.89670081,28.1907657955
Brussels Sprouts,2lb,2,0.5,6,,453.59237,302.3949133333,3.38,8.95,0.3,3.8,60mg,10.2209480707,27.0643447433,0.90718474,11.4910067067,49.6834842607
Cabbage,3lb,3,0.5,6,,453.59237,453.59237,1.28,5.8,0.1,2.5,30mg,5.805982336,26.30835746,0.45359237,11.33980925,43.907741416
Capsicum Red,10 fruits,10,18,18,,148,4.5679012346,0.99,6.03,0.3,2.1,20mg,0.0452222222,0.2754444444,0.0137037037,0.0959259259,0.4302962963
Capsicum Yellow,10 fruits,10,18,18,,148,4.5679012346,1,6.32,0.21,0.9,30mg,0.0456790123,0.288691358,0.0095925926,0.0411111111,0.3850740741
Capsicum Green,10 fruits,10,18,18,,148,4.5679012346,0.86,4.46,0.17,1.7,50mg,0.0392839506,0.2037283951,0.0077654321,0.077654321,0.3284320988
Carrot,10lb,10,120,6,,453.59237,6.2998940278,0.93,9.58,0.24,2.8,30mg,0.0585890145,0.6035298479,0.0151197457,0.1763970328,0.8536356408
Cauliflower,2lb,2,6,0.5,,453.59237,302.3949133333,1.92,4.97,0.28,2,60mg,5.805982336,15.0290271927,0.8467057573,6.0478982667,27.7296135527
Celeriac,7lb,7,120,18,,453.59237,1.4699752731,1.5,9.2,0.3,1.8,70mg,0.0220496291,0.1352377251,0.0044099258,0.0264595549,0.188156835
Celery,12lb,12,120,15,,453.59237,3.0239491333,0.69,2.97,0.17,1.6,40mg,0.020865249,0.0898112893,0.0051407135,0.0483831861,0.1642004379
Chicory,6lb,6,120,12,,453.59237,1.8899682083,1.7,4.7,0.3,4,70mg,0.0321294595,0.0888285058,0.0056699046,0.0755987283,0.2022265983
Cucumber,10 cucumbers,10,12,12,18in seperate,311,21.5972222222,0.65,3.63,0.11,0.5,30mg,0.1403819444,0.7839791667,0.0237569444,0.1079861111,1.0561041667
Endive,15 heads,15,120,12,,453.59237,4.7249205208,1.25,3.35,0.2,3.1,40mg,0.0590615065,0.1582848374,0.009449841,0.1464725361,0.3732687211
Kale,2lb,2,6,0.5,,453.59237,302.3949133333,3.3,10.01,0.7,2,90mg,9.97903214,30.2697308247,2.1167643933,6.0478982667,48.4134256247
Kohl Rabi,20 globes,20,120,12,,453.59237,6.2998940278,1.7,6.2,0.1,3.6,10mg,0.1070981985,0.3905934297,0.006299894,0.226796185,0.7307877072
Leek,10lb,10,120,0.5,,453.59237,75.5987283333,1.5,14.15,0.3,1.8,40mg,1.133980925,10.6972200592,0.226796185,1.36077711,13.4187742792
Lettuce Green Leaf,20 heads,20,120,12,,453.59237,6.2998940278,1.36,2.79,0.15,1.3,20mg,0.0856785588,0.1757670434,0.009449841,0.0818986224,0.3527940656
Lettuce Red Leaf,20 heads,20,120,12,,453.59237,6.2998940278,1.33,2.26,0.22,0.9,0,0.0837885906,0.142377605,0.0138597669,0.0566990463,0.2967250087
"Lettuce, cos or romaine",20 heads,20,120,12,,453.59237,6.2998940278,1.23,3.29,0.3,2.1,30mg,0.0774886965,0.2072665135,0.0188996821,0.1322977746,0.4359526667
Lettuce Iceberg,20 heads,20,120,12,,453.59237,6.2998940278,0.9,2.97,0.14,1.2,10mg,0.0566990463,0.1871068526,0.0088198516,0.0755987283,0.3282244788
Lettuce Butterhead,20 heads,20,120,12,,453.59237,6.2998940278,1.35,2.23,0.22,1.1,20mg,0.0850485694,0.1404876368,0.0138597669,0.0692988343,0.3086948074
Marrow,4 marrows,4,12,12,48in seperate,1500,41.6666666667,1.21,3.11,0.32,1,80mg,0.5041666667,1.2958333333,0.1333333333,0.4166666667,2.35
Courgette,16 courgettes,16,12,12,48in seperate,196,21.7777777778,2.71,3.11,0.42,1.1,80mg,0.5901777778,0.6772888889,0.0914666667,0.2395555556,1.5984888889
Squash,?,,,,,,?,,,,,,?,?,?,?,
Pumpkin,?,,,,,,?,,,,,,?,?,?,?,
Mushroom,?,,,,,,?,,,,,,?,?,?,?,
Onion,8lb,8,120,9,,453.59237,3.3599434815,1.1,9.34,0.1,1.7,40mg,0.0369593783,0.3138187212,0.0033599435,0.0571190392,0.4112570821
Shallot,7lb,7,120,9,,453.59237,2.9399505463,2.5,16.86,0.1,0,10mg,0.0734987637,0.4956756621,0.0029399505,0,0.5721143763
Parsnip,8lb,8,120,12,,453.59237,2.5199576111,1.2,17.99,0.3,4.9,50mg,0.0302394913,0.4533403742,0.0075598728,0.1234779229,0.6146176614
Pea,10lb,10,120,6,spacing by approximate height,453.59237,6.2998940278,2.8,7.55,0.2,2.6,30mg,0.1763970328,0.4756419991,0.0125997881,0.1637972447,0.8284360647
Potato,12lb,12,120,30,,453.59237,1.5119745667,2.02,17.47,90mg,2.2,20mg,0.0305418862,0.2641419568,0,0.0332634405,0.3279472835
Radish,10lb,10,120,9,,453.59237,4.1999293519,0.68,3.04,0.1,1.6,30mg,0.0285595196,0.1276778523,0.0041999294,0.0671988696,0.2276361709
Rhubarb,5lb,5,36,36,,453.59237,1.7499705633,0.9,4.54,0.2,1.8,50mg,0.0157497351,0.0794486636,0.0034999411,0.0314994701,0.1301978099
Spinach,10lb,10,120,12,,453.59237,3.1499470139,2.86,3.63,0.39,2.2,60mg,0.0900884846,0.1143430766,0.0122847934,0.0692988343,0.2860151889
Swede,30lb,30,120,15,,453.59237,7.5598728333,1.2,8.13,0.2,2.5,20mg,0.090718474,0.6146176614,0.0151197457,0.1889968208,0.9094527019
Salsify,4lb,4,120,12,,453.59237,1.2599788056,3.3,18.6,0.2,3.3,0,0.0415793006,0.2343560578,0.0025199576,0.0415793006,0.3200346166
Scorzonera,4lb,4,120,12,,453.59237,1.2599788056,?,?,?,,?,?,?,?,?,
