0ad-data-common				not found							
3dchess				not found							
4digits				keyboard and mouse only							
7kaa		uses mouse, could use gamepad emulation									
7kaa-data				not found							
a7xpg		gamepad!									
a7xpg-data				not found							
aajm				keyboard only							
abe		keyboard, could use gamepad emulation									
abe-data				not found							
ace-of-penguins		mouse, could use gamepad emulation					command is different reading the man page				
acm				not working, unknown controls							
adanaxisgpl		says can use joystick, but couldn't get to work, otherwise uses keyboard but could not use gamepad emulation									
adanaxisgpl-data				not found							
adonthell				not working							
adonthell-data				not found							
airstrike		keyboard, could use gamepad emulation									
airstrike-common				not found							
aisleriot		mouse, could use gamepad emulation									
alex4		keyboard, could use gamepad emulation									
alex4-data				not found							
alienblaster		gamepad works, need key mapping though									
alienblaster-data				not found							
amoebax		says can use joystick, but couldn't get to work, otherwise uses keyboard and could use gamepad emulation									
amoebax-data				not found							
amphetamine		uses keyboard, could use gamepad emulation									
amphetamine-data				not found							
an				text based							
angband				keyboard and mouse only							
angband-data				game only partially works with gamepad, is buggy, wont exit, some options wont select							
angrydd											
animals				text based, keyboard only							
antigravitaattori		run with “antigrav”, uses keyboard, could use gamepad emulation									
ardentryst		uses keyboard, could use gamepad emulation									
armagetronad		uses keyboard, could use gamepad emulation									
armagetronad-common											
armagetronad-dedicated											
asc		uses mouse, could use gamepad emulation									
asc-data											
asc-music											
asciijump				text based, keyboard only							
asylum		says can use joystick, but couldn't get to work, otherwise uses keyboard and could use gamepad emulation									
asylum-data											
atanks		keyboard and some mouse, could use gamepad emulation									
atanks-data											
atom4		mouse, could use gamepad emulation									
atomix		keyboard and mouse, could use gamepad emulation									
atomix-data											
atris				only in wheezy							
attal		start with “attal-client”, mouse only, could use gamepad emulation									
attal-themes-medieval											
auralquiz				requires music							
balazar3				freezes							
balazar3-2d		run with “balazar3 –2d”, uses keyboard, could use gamepad emulation									
balazar3-3d											
balazar3-common											
balazarbrothers				looks interesting but freezes, couldn't work it out							
balder2d		uses keyboard, could use gamepad emulation									
balder2d-data											
ballerburg		uses mouse, could use gamepad emulation									
ballz		keyboard, could use gamepad emulation									
ballz-data											
ballz-dbg											
bambam				weird, uses keyboard only							
barrage		mouse, could use gamepad emulation									
bastet		keyboard, could use gamepad emulation									
bb		keyboard, could use gamepad emulation									
bear-factory				looks like level editor for something							
beneath-a-steel-sky		mouse, could use gamepad emulation									
berusky		keyboard and mouse, could use gamepad emulation									
berusky-data				not found							
berusky2		keyboard and mouse, could use gamepad emulation									
berusky2-data				not found							
between		keyboard, could use gamepad emulation									
billard-gl		keyboard and mouse, could use gamepad emulation									
billard-gl-data				not found							
biloba		keyboard and mouse, could use gamepad emulation									
biloba-data				not found							
biniax2		keyboard, could use gamepad emulation									
biniax2-data				not found							
black-box		mouse, could use gamepad emulation									
blobandconquer		keyboard and mouse, could use gamepad emulation					possibly broken		runs with ”blobAndConquer”		
blobandconquer-data				not found							
blobby		keyboard and mouse, could use gamepad emulation									
blobby-data				not found							
blobby-server				not found							
bloboats		keyboard, could use gamepad emulation									
blobwars		says can use joystick, but couldn't get to work, otherwise uses keyboard and could use gamepad emulation									
blobwars-data				not found							
blockattack		keyboard and mouse, could use gamepad emulation									
blockout2		says can use joystick, but couldn't get to work, otherwise uses keyboard and mouse and could use gamepad emulation									
blocks-of-the-undead		keyboard, could use gamepad emulation									
blocks-of-the-undead-data				not found							
bombardier		keyboard, could use gamepad emulation					have to make the terminal big enough				
bomber		keyboard, could use gamepad emulation									
bomberclone		says can use joystick, but couldn't get to work, otherwise uses keyboard and could use gamepad emulation									
bomberclone-data				not found							
boswars		mouse, could use gamepad emulation									
boswars-data				not found							
bouncy		mouse, could use gamepad emulation									
bovo		mouse, could use gamepad emulation									
brainparty		mouse, could use gamepad emulation									
brainparty-data				not found							
briquolo		keyboard, could use gamepad emulation									
briquolo-data				not found							
brutalchess		mouse, could use gamepad emulation									
bsdgames				not found							
bsnes				not found							
btanks		says can use joystick, but couldn't get to work, otherwise uses keyboard and could use gamepad emulation									note, menus work with controller, but game doesn't
btanks-data				not found							
bubbros		keyboard and mouse, could use gamepad emulation					requires browser as creates a server				
bugsquish		mouse, could use gamepad emulation									
bumprace		keyboard, could use gamepad emulation									
bumprace-data				not found							
burgerspace		keyboard, could use gamepad emulation									
bygfoot		mouse, could use gamepad emulation									
bygfoot-data				not found							
bzflag		says can use joystick, but couldn't get to work, otherwise uses keyboard and could use gamepad emulation									note, actual game works with controller, but menus dont
bzflag-client				not found							
bzflag-data				not found							
bzflag-server				not found							
cappuccino		uses keyboard, could use gamepad emulation				dont know if it's a game or not. To quit ALT+F4					
castle-combat		keyboard and mouse, could use gamepad emulation									
cavezofphear				?							
ceferino		uses keyboard, could use gamepad emulation									
ceferino-data				not found							
cgoban		mouse, could use gamepad emulation									
chessx		mouse, could use gamepad emulation									
childsplay		keyboard and mouse, could use gamepad emulation									
childsplay-alphabet-sounds-bg				not found							
childsplay-alphabet-sounds-ca				not found							
childsplay-alphabet-sounds-de				not found							
childsplay-alphabet-sounds-el				not found							
childsplay-alphabet-sounds-en-gb				not found							
childsplay-alphabet-sounds-es				not found							
childsplay-alphabet-sounds-fr				not found							
childsplay-alphabet-sounds-it				not found							
childsplay-alphabet-sounds-nb				not found							
childsplay-alphabet-sounds-nl				not found							
childsplay-alphabet-sounds-pt				not found							
childsplay-alphabet-sounds-ro				not found							
childsplay-alphabet-sounds-ru				not found							
childsplay-alphabet-sounds-sl				not found							
childsplay-alphabet-sounds-sv				not found							
chipw		mouse, could use gamepad emulation				level editor					
chromium-bsu		keyboard, could use gamepad emulation									
chromium-bsu-data				not found							
circuslinux		mouse (optional keyboard), could use gamepad emulation									
circuslinux-data				not found							
colobot		says can use joystick, but couldn't get to work, otherwise uses keyboard and mouse and could use gamepad emulation									
colobot-common				not found							
colobot-common-sounds				not found							
colobot-common-textures				not found							
colorcode		keyboard and mouse, could use gamepad emulation									
connectagram		mouse, could use gamepad emulation									
cookietool				text based, keyboard only	?	don't know how to start					
cowsay				don't know how to start							
crack-attack		keyboard and mouse, could use gamepad emulation									
crawl				text based, keyboard only							
crawl-common				not found							
crawl-tiles				not found							
crawl-tiles-data				not found							
crimson		mouse (optional keyboard), could use gamepad emulation									
criticalmass		keyboard (optional mouse), could use gamepad emulation									
criticalmass-data				not found							
crossfire-client				keyboard and mouse only							
crossfire-client-images				not found							
crossfire-client-sounds				not found							
crossfire-common				not found							
crossfire-maps				not found							
crossfire-maps-small				not found							
crossfire-server				not found							
crrcsim		keyboard and mouse, could use gamepad emulation									
crrcsim-data				not found							
csmash		keyboard (optional mouse), could use gamepad emulation									
csmash-data				not found							
csmash-demosong				not found							
cultivation		mouse, could use gamepad emulation									
curseofwar				text based							
cutechess				not found							
cuyo		keyboard (optional mouse), could use gamepad emulation									
cuyo-data				not found							
